gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
slc26a5	8.5783717174904e-23	0.517823622591347	0.36	0.026	1.24643741055136e-18
enpp2	8.59684320795524e-23	0.485171765466768	0.48	0.045	1.2491213181159e-18
ecm2	1.13659025748064e-22	0.355049443242146	0.28	0.016	1.65146564411937e-18
creb3l1	1.25677663548408e-22	0.575941259452891	0.52	0.052	1.82609645135836e-18
hoxd12a	3.26346033879067e-22	0.80439020088144	0.56	0.063	4.74180787226285e-18
tent5bb	4.13361189275544e-22	0.9025175272791	0.4	0.034	6.00613808017366e-18
waslb	4.64451292442724e-22	0.772874982298464	0.6	0.073	6.74847727919278e-18
wasf3b	5.3765551379711e-22	1.03771769398121	0.8	0.129	7.81213461547201e-18
lgals9l3	5.49622830112474e-22	0.743225673880854	0.48	0.048	7.98601972153425e-18
fmoda	5.74156407358489e-22	2.27350658513867	0.92	0.221	8.34249259891884e-18
mmp14a	6.41347996359745e-22	1.4223035464578	0.88	0.157	9.3187863871071e-18
pdgfrb	7.80173116972815e-22	0.530391765402714	0.52	0.054	1.1335915389615e-17
fkbp10b	1.02357909098892e-21	1.34078452976375	0.88	0.164	1.4872604192069e-17
fkbp11	1.07572525837695e-21	1.31282730296198	0.84	0.156	1.56302880042171e-17
msrb3	1.07886840873408e-21	0.444996086564345	0.44	0.04	1.56759579789063e-17
gpm6bb	1.47558442000928e-21	0.583076124592534	0.36	0.028	2.14402416227349e-17
slc7a8a	5.34067758395173e-21	0.711870438914212	0.6	0.073	7.76000452948187e-17
sardh	5.91725774729235e-21	0.494961353658958	0.24	0.013	8.59777550681578e-17
ndel1b	7.13510494107569e-21	0.814825312982826	0.68	0.095	1.0367307479383e-16
dcn	9.32879081429315e-21	1.40859723206562	0.8	0.142	1.35547330531679e-16
tmem106a	1.12420644380941e-20	0.584848697662487	0.48	0.051	1.63347196285507e-16
tmem119b	2.80921023749759e-20	1.34768807862672	0.88	0.175	4.081782475084e-16
ucp2	4.52853824468624e-20	3.83642490448358	1	0.392	6.57996606952911e-16
selenbp1	4.69694685559048e-20	0.560220511590487	0.44	0.044	6.82466378117297e-16
gpc1b	5.351726154728e-20	0.338006758390354	0.4	0.036	7.77605810281978e-16
si:ch73-237c6.1	6.52854803362855e-20	0.555509381645499	0.32	0.024	9.48598029286229e-16
gnai2b	8.02467485739878e-20	0.416411527164593	0.44	0.043	1.16598525678004e-15
jakmip1	8.98998968822133e-20	0.396381891326384	0.28	0.019	1.30624550169856e-15
gsr	1.58533422978801e-19	0.696403061902911	0.56	0.072	2.30349063588198e-15
nfe2l2a	1.66967819104232e-19	1.2957796657038	0.88	0.171	2.42604241158449e-15
crip3	2.00522935635498e-19	0.466016666031193	0.48	0.052	2.91359825478378e-15
itgb5	2.34244244099701e-19	0.39683932165185	0.32	0.025	3.40356886676866e-15
lrrc17	2.67223390519215e-19	1.81224250312343	0.92	0.213	3.8827558642442e-15
gamt	2.77147274940861e-19	0.60316393722881	0.68	0.099	4.02694990489072e-15
gys1	3.16851529161329e-19	0.429546269247349	0.32	0.025	4.60385271871411e-15
il17rd	3.18685567623163e-19	0.711020327909057	0.56	0.073	4.63050129756456e-15
lonrf1l	4.05767775592661e-19	0.577022418892193	0.48	0.054	5.89580577936136e-15
ssh2a	5.93407855105087e-19	0.618266411995915	0.44	0.047	8.62221613467691e-15
glud1a	2.35163079386536e-18	1.48378722626284	0.84	0.186	3.41691954348637e-14
col1a1a	3.78125848407483e-18	6.16169248587478	0.88	0.297	5.49416857736073e-14
cx43	7.3912476542537e-18	0.604623961618313	0.52	0.066	1.07394828416306e-13
egfl7	7.92375700232733e-18	0.424921655189832	0.4	0.041	1.15132189243816e-13
adkb	8.6918065019742e-18	0.923179190976255	0.64	0.104	1.26291948473685e-13
sorbs3	1.31457439585583e-17	0.344982803838216	0.24	0.016	1.91007659717852e-13
bach1b	1.32109890217172e-17	0.480305928590763	0.32	0.027	1.91955670485551e-13
dnm3a	1.54849422918203e-17	0.264039827276021	0.24	0.016	2.24996211500148e-13
lum	2.06028151437014e-17	0.712739598877763	0.64	0.097	2.99358904037981e-13
msx1b	2.70687719954897e-17	1.4126151776911	0.64	0.108	3.93309257094466e-13
map4k5	2.95141792226317e-17	0.690034607043487	0.56	0.08	4.28841024104838e-13
ctdspla	3.7690978504784e-17	1.0333469327751	0.92	0.204	5.47649917674512e-13
dennd3a	4.6638915936731e-17	0.261856791345351	0.2	0.011	6.77663448560702e-13
ak4	4.96433547582978e-17	0.861615651675571	0.72	0.128	7.21317944638067e-13
cited1	5.95161364429466e-17	0.935604819631398	0.68	0.115	8.64769462516015e-13
