UMAP_1	UMAP_2	CellType	orig.ident
6.32490797185069	-7.64802485086378	*	adult19
6.11653776311046	-7.6788285312837	*	adult19
2.60617573403483	-7.57024889566358	*	adult19
-4.0702736840331	1.57608646772448	*	adult19
-4.3050034508788	-9.51771479227003	*	adult19
5.26311154507762	-6.46350603677686	*	adult19
3.71902938031321	-7.97677832223829	*	adult19
-4.42557077265615	-9.69918947793897	*	adult19
2.37983925484782	-3.91420012094434	*	adult19
11.5538041129029	1.17153782270495	*	adult19
-6.43196897364492	0.644870231520572	*	adult19
-1.71771983958119	11.2105366649443	*	adult19
-6.374478624829	1.71229345224444	*	adult19
10.4927517905152	3.67311257741992	*	adult19
-3.74726848460073	1.89836460969988	*	adult19
-3.07404737330312	0.860860264521279	*	adult19
-3.43963699198598	-0.594016605395637	*	adult19
-3.02853851176137	1.24512309454028	*	adult19
3.0103132262147	-5.54543381311353	*	adult19
-2.08113984919423	11.6628758373076	*	adult19
-5.99790553904409	1.36710978172366	*	adult19
-6.51305417872304	1.26077670476977	*	adult19
-4.97900800562734	1.14253056667391	*	adult19
-6.350552843579	1.29364675901476	*	adult19
-3.63708238459462	0.0569868149572991	*	adult19
10.4487578406251	1.56707335136477	*	adult19
-3.24644641733998	-0.682364517230354	*	adult19
-5.88121776438588	0.0580218496138237	*	adult19
2.68399883650905	-7.62544851877149	*	adult19
4.25080747746592	-7.63374834634717	*	adult19
11.3790175452149	1.54532433174197	*	adult19
-2.03691391802663	-0.14177047588285	*	adult19
-2.37685470438832	2.59734768293444	*	adult19
-2.47060327387685	-0.906316572207771	*	adult19
-3.43158273554677	2.52348977945391	*	adult19
-6.38676576472158	0.232581442814507	*	adult19
-2.27029113627309	2.25857347868029	*	adult19
6.10990257405406	-7.24750071145948	*	adult19
1.9959308936513	-5.81391459085401	*	adult19
3.80777902745372	-7.55162363626417	*	adult19
6.2109820380128	-7.37011223413404	*	adult19
-4.98149328089589	0.355751937847771	*	adult19
3.80926509045726	-5.93166046716627	*	adult19
-2.19387321329946	7.08456010244433	*	adult19
-5.87332420206899	1.47659963987414	*	adult19
-2.89362411356801	2.64432901762072	*	adult19
2.60165925168162	-2.07758098222669	*	adult19
-7.74451379633779	11.0970980586821	*	adult19
5.96196909093028	-5.88941698648389	*	adult19
-2.45314769602651	2.32704324148242	*	adult19
-5.11594943858022	-8.78454332925733	*	adult19
4.17344899319774	-8.4107678470796	*	adult19
-5.92764692164296	0.267842656593957	*	adult19
-1.86127738810414	0.204670196991601	*	adult19
-4.15361766672963	2.44747919462267	*	adult19
2.23287589692241	-7.23317843057569	*	adult19
9.55498428486949	3.17888564489428	*	adult19
-4.50655011988515	0.417433521371522	*	adult19
2.50882316969996	-2.39058309175428	*	adult19
6.50433797978526	-7.77776842691358	*	adult19
5.03601355694896	-4.42483502008375	*	adult19
2.47866655730372	-6.26015501596387	*	adult19
-3.472294615277	-0.386365526694617	*	adult19
2.19473858021861	-7.12069683649	*	adult19
2.43680102967387	-2.0890851555055	*	adult19
-2.77158431864614	-1.04939191915449	*	adult19
-5.38645152903432	-9.99383288003858	*	adult19
-6.83566884852284	0.662081493657269	*	adult19
-2.68006400919789	1.44893837593142	*	adult19
-0.802163647183123	10.5270230235869	*	adult19
-6.75647477961415	0.996365016918816	*	adult19
-5.82715015269155	0.344673818569817	*	adult19
-4.9233968720519	2.72438449285571	*	adult19
-6.1965640053832	0.662131643515267	*	adult19
-1.71056871271962	1.8331400813872	*	adult19
-2.83117704249257	2.36932570360247	*	adult19
3.94901819371348	-8.20540361978468	*	adult19
-3.10724811411733	-0.281348579902015	*	adult19
2.4900393023408	-2.83971934892591	*	adult19
-3.12712364054555	2.19198483846728	*	adult19
2.05998973392611	-6.14097862817701	*	adult19
-1.85284690714711	5.7934557857329	*	adult19
-2.90975789881581	3.34979242704455	*	adult19
2.95322961949473	-7.70230513193067	*	adult19
3.30153579854136	-7.70753985025342	*	adult19
4.63786883496409	-4.5991895733064	*	adult19
4.24749822758799	-7.42664652444776	*	adult19
-6.51615648127431	0.405759102326073	*	adult19
1.89086866222983	-6.55249052621778	*	adult19
3.00420673035747	-7.65023737527784	*	adult19
-2.01493458605641	-0.0724539098924019	*	adult19
-1.95296006060475	0.577513578009047	*	adult19
-6.35123185969228	0.873557812195458	*	adult19
2.45539326810008	-7.27321796991285	*	adult19
6.35943670415049	-7.72384386636671	*	adult19
6.12498970173961	-7.70005827524122	*	adult19
10.3075263037599	3.36333293340746	*	adult19
-2.40059356547231	0.194971508007684	*	adult19
2.86113126420146	-7.83284597970899	*	adult19
4.32343287610179	-4.47931938745435	*	adult19
-0.304030941494647	10.6760317745024	*	adult19
6.39671821736461	-7.93692808725294	*	adult19
-2.14539270258779	7.09955233953539	*	adult19
-1.23365979052419	10.9610831203276	*	adult19
10.0189396872438	3.88839382551257	*	adult19
6.1204845442689	-6.87287979700025	*	adult19
-1.80282025194997	5.5222966136748	*	adult19
5.04566021107799	-8.13191443063673	*	adult19
5.36356659077769	-8.19390898324903	*	adult19
-2.22460894442433	-0.45369070150312	*	adult19
6.11404628895884	-7.98532610513624	*	adult19
4.06346244954234	-8.26823835946973	*	adult19
2.59474082135325	-2.30344157792982	*	adult19
-1.99841027117604	0.402425310235658	*	adult19
-4.09679822779531	2.0471692743117	*	adult19
-6.14596204615468	0.0264404477888726	*	adult19
5.73364658497935	-5.87258272745069	*	adult19
-6.35731725550527	0.450494355183282	*	adult19
6.66417331837779	-6.912453943271	*	adult19
-5.20009593821401	1.09972835205142	*	adult19
