UMAP_1	UMAP_2	CellType	orig.ident
-0.298569097158941	7.55595210760595	*	adult19
-0.412783279058966	7.61790517538549	*	adult19
-3.81660492622617	7.59762719839574	*	adult19
0.805841372373072	-5.69790598184107	*	adult19
3.28108279502627	-12.1443519237661	*	adult19
-0.954815908310446	6.34121946066381	*	adult19
-2.55063147747281	8.0938606616831	*	adult19
3.53598181998965	-11.622496569457	*	adult19
-4.45387752258542	3.95808390348913	*	adult19
-7.59563811027768	3.66002944677831	*	adult19
1.94482223785159	-4.20323559075831	*	adult19
8.40581910407778	-1.40068336755274	*	adult19
2.58804957664248	-3.87972255975245	*	adult19
-10.1153066893792	3.24866000383855	*	adult19
0.74842636382815	-5.93023248940943	*	adult19
-0.749104402003321	-5.51611086160182	*	adult19
-0.925864464578661	-3.84568306237696	*	adult19
-0.521226241228613	-5.39672991067408	*	adult19
-3.47022946083311	5.66976026266576	*	adult19
8.62902943885562	-1.85201259881495	*	adult19
2.04642741477725	-4.40423437386988	*	adult19
1.80354635513064	-4.06337400704859	*	adult19
1.40530221259829	-4.95145221978663	*	adult19
2.10758797919985	-4.05322262078761	*	adult19
-0.683554335472616	-4.49539705544947	*	adult19
-8.35714419090513	4.06338885992528	*	adult19
-1.39575184786085	-4.03579756051539	*	adult19
1.10228960311648	-3.18601557046412	*	adult19
-3.7286420603967	7.81279758184911	*	adult19
-2.14409930908445	7.76270822256566	*	adult19
-8.37943537437681	3.20367542475225	*	adult19
-2.01395411693815	-4.96439834863185	*	adult19
-0.303442194101843	-7.13899513513087	*	adult19
-2.10588641369108	-3.97876545220851	*	adult19
1.10109107291934	-6.7811040523672	*	adult19
1.30709163940188	-3.11969896584986	*	adult19
-0.732331230280432	-7.14215084344386	*	adult19
-0.77691470363501	6.86554387777807	*	adult19
-4.60462768280271	6.12950614660741	*	adult19
-2.83982260429624	7.63952020376684	*	adult19
0.0489728907370243	7.21781161993505	*	adult19
0.59132187164065	-3.95183464318751	*	adult19
-2.93270237648252	6.02249387472631	*	adult19
5.1750957230353	-1.96343656808375	*	adult19
2.76388947761294	-4.11415573388575	*	adult19
0.269139216306177	-7.02294441491603	*	adult19
-3.39714296066526	2.31599870890142	*	adult19
4.87169329917666	-5.09575172692774	*	adult19
-0.625529198882612	5.92979005545141	*	adult19
-0.512980445263418	-6.99004169732569	*	adult19
3.3363882759833	-11.7042827251577	*	adult19
-1.96237559520963	8.59589866369726	*	adult19
1.57224385535952	-3.78813024789332	*	adult19
-1.92373414242032	-5.46450277596949	*	adult19
1.55048863685366	-6.35311075479029	*	adult19
-4.23505122864011	7.37196449011327	*	adult19
-10.3428562422967	4.65444687574865	*	adult19
0.483747051122156	-4.27354284554957	*	adult19
-3.79035074913267	2.63959339827062	*	adult19
0.542385385396448	7.60957530706884	*	adult19
-1.56556852066282	4.55002907484533	*	adult19
-4.22156484329465	6.47301582067968	*	adult19
-1.44050188266996	-4.00539680749415	*	adult19
-4.11239559852842	7.39512304037572	*	adult19
-3.45601518356565	2.28559527367116	*	adult19
-1.80178929769758	-3.71901603967189	*	adult19
2.86884825027224	-10.9077014568472	*	adult19
1.90013663566348	-2.95989605218409	*	adult19
-0.731630175349745	-6.34913584023951	*	adult19
8.07936875617739	0.245155727562917	*	adult19
2.25656335151431	-3.233188593688	*	adult19
1.75737945831057	-4.4392809513235	*	adult19
2.21740357673403	-6.13912340432643	*	adult19
1.70217768943545	-3.24270197183131	*	adult19
-1.20039747559789	-7.04413696557521	*	adult19
-0.0375969549393979	-6.78636928826808	*	adult19
-2.29303403103116	8.11533549993993	*	adult19
-1.32278878891233	-4.3850817325735	*	adult19
-3.91780526840452	3.00856951445104	*	adult19
0.274654434087244	-6.34802337914942	*	adult19
-4.62245853149656	6.38328078955175	*	adult19
3.98636405265566	-1.40960665971278	*	adult19
0.302548334958521	-7.05861946374415	*	adult19
-3.50100643837217	7.7600655910349	*	adult19
-3.21218521797422	7.8046326991892	*	adult19
-2.08290417396787	4.81658176153661	*	adult19
-2.16305799686674	7.42677835196019	*	adult19
1.72891204154727	-4.42515655786036	*	adult19
-4.62574060165647	6.99886087149144	*	adult19
-3.1825326224542	7.86510709494115	*	adult19
-1.97006173336271	-5.00499626428126	*	adult19
-1.49739976131681	-5.96720787316798	*	adult19
1.86136309898135	-3.93146892816065	*	adult19
-4.13617618286374	7.43182615011693	*	adult19
-0.142638637659582	7.64381746023656	*	adult19
-0.149156286356482	7.6756158229685	*	adult19
-9.86551649772886	3.4313611146784	*	adult19
-1.6086014052606	-5.12935634881495	*	adult19
-3.39021785461667	7.90525344580175	*	adult19
-2.08587188923124	4.68110111921789	*	adult19
8.00993077552554	0.25364402502538	*	adult19
-0.393724693892035	7.84716132849218	*	adult19
5.30522219932315	-2.03742595941065	*	adult19
8.1360971192145	-0.581220591368663	*	adult19
-10.3437889357782	3.3250561115122	*	adult19
-0.126635088560614	6.70595935553075	*	adult19
3.67681233680483	-1.44109889298915	*	adult19
-1.52712632620099	8.04982713430883	*	adult19
-1.16371478044752	8.16119960516454	*	adult19
-2.0808800002313	-4.70610567361354	*	adult19
-0.244666888353857	7.93579391211034	*	adult19
-2.17121739589933	8.10271648138524	*	adult19
-3.55064780914548	2.47481969564916	*	adult19
-1.7447970052934	-5.49717804223536	*	adult19
1.07258944308993	-5.77864118844508	*	adult19
1.42161910331484	-3.66011759072779	*	adult19
-0.867060477820667	5.63727668493749	*	adult19
1.54512064254519	-3.22092386514186	*	adult19
0.245603964688745	6.54233649939061	*	adult19
