percent.mt	nFeature_RNA	nCount_RNA	stage	version
0.802476936686465	3150	15826	larval	version_1
1.6422435573522	1555	7916	larval	version_1
0.808457711442786	1564	4824	larval	version_1
1.23302853976171	2568	14436	larval	version_1
1.44916183612721	2258	12766	larval	version_1
2.11530485275819	2059	9644	larval	version_1
1.48185998978028	1333	3914	larval	version_1
0.886772312997783	3427	24358	larval	version_1
0.942140296979007	2174	9765	larval	version_1
0.998867263927505	2061	9711	larval	version_1
2.19646516393443	2687	15616	larval	version_1
1.34656272147413	1351	7055	larval	version_1
1.29012640632466	3527	23021	larval	version_1
0.849678392757881	2475	12593	larval	version_1
1.02468839884947	2768	16688	larval	version_1
0.980392156862745	1632	6222	larval	version_1
1.14767369874756	3181	20999	larval	version_1
0.937752627324171	1876	12370	larval	version_1
0.735001986491855	2294	10068	larval	version_1
1.15712894540872	2842	17457	larval	version_1
1.15998066698888	1607	6207	larval	version_1
1.27571091379117	2829	17794	larval	version_1
1.23402100999873	2789	15802	larval	version_1
1.54985949076045	2132	11743	larval	version_1
0.951460640749275	2365	13453	larval	version_1
1.283380865958	1867	7714	larval	version_1
1.02129132767873	1793	5777	larval	version_1
0.61501210653753	3113	20650	larval	version_1
0.704861738658955	1773	5533	larval	version_1
1.06376078355063	2572	15417	larval	version_1
1.11075848936845	3106	18906	larval	version_1
2.61115031757234	876	2834	larval	version_1
1.25278792767997	3176	21073	larval	version_1
1.85506472707861	2434	14986	larval	version_1
1.26401630988787	1452	4905	larval	version_1
0.68160518019937	2273	11737	larval	version_1
1.22778675282714	1726	9285	larval	version_1
0.721703925365253	2681	17043	larval	version_1
1.11295681063123	1643	6020	larval	version_1
0.517343736748367	2190	11791	larval	version_1
1.06884057971014	2166	16560	larval	version_1
1.81424316274032	1774	7386	larval	version_1
0.423590746171391	978	3069	larval	version_1
0.601322910402886	1484	8315	larval	version_1
1.16839030551828	2303	12667	larval	version_1
0.845326254017046	2266	14314	larval	version_1
2.38938053097345	1575	5650	larval	version_1
1.05303570449186	3144	18233	larval	version_1
1.90703218116806	941	5034	larval	version_1
0.847673677501593	2710	15690	larval	version_1
1.3855035279025	1843	7795	larval	version_1
1.59283492438056	3171	18646	larval	version_1
1.12711333750783	2742	15970	larval	version_1
0.961538461538462	1751	6552	larval	version_1
1.18110236220472	2800	18542	larval	version_1
0.815510078473611	1633	6499	larval	version_1
1.4404296875	1359	4096	larval	version_1
1.24148231121068	1986	10713	larval	version_1
0.966974114846772	1644	6722	larval	version_1
0.778513040093422	1979	7707	larval	version_1
0.617474529175671	1141	3239	larval	version_1
0.905511811023622	1551	5080	larval	version_1
0.85673952197829	3193	20543	larval	version_1
1.19270346117867	2133	8552	larval	version_1
0.994229915667998	2043	11265	larval	version_1
1.24049619847939	1409	4998	larval	version_1
1.33242999096658	1891	8856	larval	version_1
1.67073766487543	2045	10235	larval	version_1
1.49933573733156	1518	5269	larval	version_1
1.7579445571332	1388	4437	larval	version_1
1.11381830838844	1671	5746	larval	version_1
1.24298600752894	2118	14079	larval	version_1
0.948751216347713	2116	12332	larval	version_1
0.915260569080381	2828	16061	larval	version_1
1.4453477868112	2414	12177	larval	version_1
1.53458677443917	2901	17073	larval	version_1
2.17601547388781	1188	6204	larval	version_1
1.28646910176889	1303	4353	larval	version_1
0.594667178208325	1524	5213	larval	version_1
0.600975167252523	1639	8819	larval	version_1
1.2738527651302	3188	19547	larval	version_1
0.950349107835532	3134	20624	larval	version_1
0.977337975688718	2783	16371	larval	version_1
1.16842186178799	2298	13009	larval	version_1
1.1971510834975	1619	6599	larval	version_1
0.973375322072717	1296	3493	larval	version_1
0.987952811705365	3582	23989	larval	version_1
1.110550227158	3126	19810	larval	version_1
1.11598975484815	2297	10932	larval	version_1
1.16686114352392	1599	5142	larval	version_1
4.25747592498733	1096	3946	larval	version_1
1.13016886052387	2610	15042	larval	version_1
0.863557858376511	1405	4632	larval	version_1
1.02646759416356	2203	11788	larval	version_1
0.966303270564916	2168	12108	larval	version_1
0.941176470588235	1155	3400	larval	version_1
0.856647148124051	2357	9222	larval	version_1
0.596476626439173	1694	7209	larval	version_1
2.77144747482173	2703	13603	larval	version_1
1.28484320557491	1961	9184	larval	version_1
1.024385821775	2211	11031	larval	version_1
1.78111085071479	1105	4267	larval	version_1
1.17801047120419	1210	3820	larval	version_1
1.13310920184286	1655	8031	larval	version_1
1.03244837758112	1596	6102	larval	version_1
0.801779433064349	2939	19332	larval	version_1
1.18803768947153	2560	14646	larval	version_1
0.790188492880072	2245	12149	larval	version_1
3.51433801098231	1588	8195	larval	version_1
1.03428291204137	3004	22431	larval	version_1
1.60725652450668	1771	6284	larval	version_1
1.28296507483963	1829	9821	larval	version_1
1.3604467993699	1704	6983	larval	version_1
0.573219883564711	2122	11165	larval	version_1
0.969268487371002	2870	17539	larval	version_1
0.905768313999682	2058	12586	larval	version_1
0.948968080164576	2881	15069	larval	version_1
1.2335789810958	1312	6242	larval	version_1
2.79909706546275	2704	13290	larval	version_1
1.15877712031558	1433	4056	larval	version_1
1.29152726989808	2462	12853	larval	version_1
1.00795218558476	3033	19743	larval	version_1
0.794695758487727	3305	21266	larval	version_1
0.824912353062487	1317	4849	larval	version_1
0.410557184750733	1568	5115	larval	version_1
1.01739415818838	2289	12188	larval	version_1
