nFeature_RNA	nCount_RNA	stage	version
1862	7784	larval	version_1
1564	4990	larval	version_1
1645	6054	larval	version_1
949	2825	larval	version_1
1214	4966	larval	version_1
1121	2604	larval	version_1
1229	2978	larval	version_1
2214	10100	larval	version_1
1127	3240	larval	version_1
1247	5525	larval	version_1
1119	3884	larval	version_1
996	2781	larval	version_1
2076	8532	larval	version_1
2414	7444	larval	version_1
1930	5784	larval	version_1
1217	5098	larval	version_1
1166	5491	larval	version_1
846	3555	larval	version_1
1757	10632	larval	version_1
1796	8324	larval	version_1
1448	3570	larval	version_1
4833	42462	larval	version_1
877	2515	larval	version_1
1107	3277	larval	version_1
1790	6856	larval	version_1
1268	7213	larval	version_1
1419	4250	larval	version_1
733	2638	larval	version_1
2060	8125	larval	version_1
881	3555	larval	version_1
1337	4677	larval	version_1
1249	3744	larval	version_1
2008	8397	larval	version_1
2385	8558	larval	version_1
1976	8690	larval	version_1
1019	3843	larval	version_1
975	3622	larval	version_1
1306	4078	larval	version_1
1094	3459	larval	version_1
1395	4199	larval	version_1
1563	5356	larval	version_1
1738	6414	larval	version_1
1608	4844	larval	version_1
1906	5516	larval	version_1
2038	9622	larval	version_1
929	3456	larval	version_1
2106	6644	larval	version_1
2108	12031	larval	version_1
2032	6805	larval	version_1
1589	4514	larval	version_1
2387	13455	larval	version_1
1706	9973	larval	version_1
1339	6432	larval	version_1
1372	5886	larval	version_1
1553	5138	larval	version_1
787	2711	larval	version_1
1516	4369	larval	version_1
1196	3500	larval	version_1
1882	5316	larval	version_1
1518	5557	larval	version_1
1002	3636	larval	version_1
941	3695	larval	version_1
968	3428	larval	version_1
1315	3517	larval	version_1
1058	4714	larval	version_1
1504	6555	larval	version_1
1220	5905	larval	version_1
1526	5591	larval	version_1
1220	4175	larval	version_1
1468	6281	larval	version_1
1281	5116	larval	version_1
1950	7335	larval	version_1
1259	4956	larval	version_1
1284	3261	larval	version_1
2021	5239	larval	version_1
1181	4871	larval	version_1
1662	5700	larval	version_1
1663	7908	larval	version_1
995	4606	larval	version_1
867	2897	larval	version_1
734	2664	larval	version_1
1047	3204	larval	version_1
1286	4705	larval	version_1
2398	10269	larval	version_1
1106	5442	larval	version_1
1209	4890	larval	version_1
980	3462	larval	version_1
1382	4802	larval	version_1
2180	9801	larval	version_1
2156	12179	larval	version_1
1194	3785	larval	version_1
1947	10160	larval	version_1
1644	5064	larval	version_1
2379	8298	larval	version_1
1340	5267	larval	version_1
1093	3862	larval	version_1
1187	3095	larval	version_1
1768	4568	larval	version_1
1700	5763	larval	version_1
1683	9646	larval	version_1
2453	18182	larval	version_1
3739	26754	larval	version_1
853	2938	larval	version_1
1002	3969	larval	version_1
1594	6063	larval	version_1
1633	6058	larval	version_1
1062	5781	larval	version_1
1558	5347	larval	version_1
1286	4163	larval	version_1
1359	5695	larval	version_1
1788	6149	larval	version_1
1322	5091	larval	version_1
1113	2563	larval	version_1
1556	5029	larval	version_1
2239	14355	larval	version_1
1606	5433	larval	version_1
1859	7254	larval	version_1
1041	4762	larval	version_1
902	2784	larval	version_1
2496	15918	larval	version_1
1762	6608	larval	version_1
2020	12244	larval	version_1
1127	3866	larval	version_1
1096	3461	larval	version_1
1887	7593	larval	version_1
1579	4023	larval	version_1
1463	5161	larval	version_1
2020	7319	larval	version_1
951	3072	larval	version_1
2460	8928	larval	version_1
1162	4079	larval	version_1
1656	5802	larval	version_1
2020	11907	larval	version_1
1490	4086	larval	version_1
2650	16810	larval	version_1
1382	5771	larval	version_1
1049	4662	larval	version_1
1234	3146	larval	version_1
1392	6037	larval	version_1
1574	7229	larval	version_1
1062	4198	larval	version_1
1084	5405	larval	version_1
2770	15213	larval	version_1
1380	5229	larval	version_1
1063	4362	larval	version_1
1566	5784	larval	version_1
1446	4680	larval	version_1
1245	3810	larval	version_1
2185	10493	larval	version_1
1708	5591	larval	version_1
2626	12373	larval	version_1
1118	4090	larval	version_1
1113	4510	larval	version_1
1764	5032	larval	version_1
1684	5760	larval	version_1
1112	4507	larval	version_1
1709	6426	larval	version_1
1144	4748	larval	version_1
1692	6022	larval	version_1
1486	6846	larval	version_1
1403	4690	larval	version_1
1758	7234	larval	version_1
3469	34005	larval	version_1
1506	5823	larval	version_1
1147	4374	larval	version_1
2054	6933	larval	version_1
2076	10014	larval	version_1
1295	4045	larval	version_1
1501	4959	larval	version_1
980	3049	larval	version_1
1246	4901	larval	version_1
2915	18736	larval	version_1
2153	8178	larval	version_1
1367	3688	larval	version_1
1918	6441	larval	version_1
1033	3258	larval	version_1
2220	9385	larval	version_1
1825	6634	larval	version_1
1653	6656	larval	version_1
1676	6976	larval	version_1
1567	8175	larval	version_1
2750	17031	larval	version_1
1712	8070	larval	version_1
1138	4215	larval	version_1
1062	3264	larval	version_1
1153	2507	larval	version_1
1435	4495	larval	version_1
1043	2776	larval	version_1
1212	4295	larval	version_1
1736	5893	larval	version_1
1024	3436	larval	version_1
1218	5137	larval	version_1
1863	6218	larval	version_1
909	2774	larval	version_1
1081	3990	larval	version_1
2078	11396	larval	version_1
2102	7223	larval	version_1
893	3728	larval	version_1
1188	5039	larval	version_1
1447	4522	larval	version_1
1275	4557	larval	version_1
1784	8010	larval	version_1
2036	9637	larval	version_1
1400	5377	larval	version_1
1131	3678	larval	version_1
2092	7015	larval	version_1
1214	4183	larval	version_1
898	3446	larval	version_1
1287	4399	larval	version_1
2642	11679	larval	version_1
1184	5279	larval	version_1
1691	6467	larval	version_1
1079	3298	larval	version_1
1326	6066	larval	version_1
1428	4965	larval	version_1
1408	4023	larval	version_1
1498	6570	larval	version_1
1044	3578	larval	version_1
1886	7766	larval	version_1
882	3114	larval	version_1
1089	3072	larval	version_1
1721	5639	larval	version_1
1486	5434	larval	version_1
1639	5844	larval	version_1
1131	3690	larval	version_1
2584	22216	larval	version_1
1674	6262	larval	version_1
2678	19304	larval	version_1
1648	6487	larval	version_1
1333	4599	larval	version_1
1464	4567	larval	version_1
2265	12350	larval	version_1
2933	13512	larval	version_1
990	3228	larval	version_1
1652	6391	larval	version_1
1552	5084	larval	version_1
1989	11780	larval	version_1
2558	16496	larval	version_1
1774	8780	larval	version_1
1318	3233	larval	version_1
1700	7233	larval	version_1
1093	3571	larval	version_1
1442	5662	larval	version_1
2931	17878	larval	version_1
2011	9496	larval	version_1
2277	9209	larval	version_1
2030	11873	larval	version_1
1177	4171	larval	version_1
2029	6757	larval	version_1
1318	5574	larval	version_1
1707	7050	larval	version_1
1440	6956	larval	version_1
1702	4557	larval	version_1
1747	8126	larval	version_1
940	3065	larval	version_1
1403	5088	larval	version_1
2102	9057	larval	version_1
937	3032	larval	version_1
1141	4461	larval	version_1
1301	5641	larval	version_1
958	3167	larval	version_1
1603	9529	larval	version_1
1082	4262	larval	version_1
1367	4108	larval	version_1
2336	8590	larval	version_1
1184	3973	larval	version_1
1590	7952	larval	version_1
1204	4368	larval	version_1
1174	4041	larval	version_1
1264	4173	larval	version_1
1506	5786	larval	version_1
1291	4838	larval	version_1
1295	5705	larval	version_1
1001	2909	larval	version_1
1583	5517	larval	version_1
1400	4261	larval	version_1
1950	8031	larval	version_1
1806	6433	larval	version_1
1626	6112	larval	version_1
1926	4999	larval	version_1
1029	3880	larval	version_1
1742	5902	larval	version_1
1922	11158	larval	version_1
1347	5265	larval	version_1
1457	5595	larval	version_1
1497	3883	larval	version_1
1284	4532	larval	version_1
1344	4930	larval	version_1
1835	7818	larval	version_1
1477	3585	larval	version_1
2420	10203	larval	version_1
968	3024	larval	version_1
1082	3191	larval	version_1
1952	8178	larval	version_1
2106	9351	larval	version_1
1647	8072	larval	version_1
3190	17135	larval	version_1
1640	6368	larval	version_1
1398	5556	larval	version_1
1217	4511	larval	version_1
1544	5173	larval	version_1
1658	6699	larval	version_1
3017	25110	larval	version_1
2110	8972	larval	version_1
1058	3374	larval	version_1
1461	4764	larval	version_1
1697	7561	larval	version_1
1326	4744	larval	version_1
1867	6678	larval	version_1
1626	4698	larval	version_1
1193	4829	larval	version_1
1886	6279	larval	version_1
1477	5529	larval	version_1
1147	4368	larval	version_1
1198	4534	larval	version_1
1244	4750	larval	version_1
1448	5862	larval	version_1
1543	4312	larval	version_1
1887	5873	larval	version_1
1529	4054	larval	version_1
1097	4682	larval	version_1
917	4240	larval	version_1
833	3190	larval	version_1
1135	2779	larval	version_1
1889	8068	larval	version_1
4049	29865	larval	version_1
1080	3191	larval	version_1
2019	6398	larval	version_1
914	3938	larval	version_1
1088	4069	larval	version_1
2098	7860	larval	version_1
1862	5260	larval	version_1
1616	5376	larval	version_1
991	3287	larval	version_1
1336	5094	larval	version_1
1427	4710	larval	version_1
1221	2729	larval	version_1
1230	5560	larval	version_1
1507	6824	larval	version_1
1008	2818	larval	version_1
1152	3994	larval	version_1
1275	4494	larval	version_1
1132	3263	larval	version_1
1368	5882	larval	version_1
1598	5049	larval	version_1
1168	3922	larval	version_1
1277	4157	larval	version_1
1023	3339	larval	version_1
928	3617	larval	version_1
1512	5868	larval	version_1
1320	4719	larval	version_1
1552	5240	larval	version_1
1312	4539	larval	version_1
996	3591	larval	version_1
1735	6074	larval	version_1
3158	29865	larval	version_1
994	4221	larval	version_1
1037	4146	larval	version_1
1020	3790	larval	version_1
2051	10781	larval	version_1
1164	3360	larval	version_1
1010	3061	larval	version_1
1086	4967	larval	version_1
1183	3800	larval	version_1
1650	6976	larval	version_1
1524	4100	larval	version_1
1494	5420	larval	version_1
2772	21413	larval	version_1
915	3435	larval	version_1
1518	7143	larval	version_1
3354	22011	larval	version_1
1274	3854	larval	version_1
1929	7325	larval	version_1
1315	5086	larval	version_1
1713	9149	larval	version_1
1152	2814	larval	version_1
899	3469	larval	version_1
994	3817	larval	version_1
1814	9117	larval	version_1
1962	7961	larval	version_1
1206	3898	larval	version_1
980	3201	larval	version_1
1660	5872	larval	version_1
1473	4489	larval	version_1
2317	18900	larval	version_1
2412	10608	larval	version_1
1139	5280	larval	version_1
1190	3240	larval	version_1
1183	4130	larval	version_1
820	2574	larval	version_1
913	3093	larval	version_1
1137	3860	larval	version_1
1326	4598	larval	version_1
1547	3938	larval	version_1
1070	4766	larval	version_1
1215	4348	larval	version_1
2097	7133	larval	version_1
1558	6400	larval	version_1
1726	6410	larval	version_1
1637	8083	larval	version_1
1464	5749	larval	version_1
1119	3685	larval	version_1
1652	5818	larval	version_1
2817	12937	larval	version_1
675	2629	larval	version_1
941	3813	larval	version_1
1595	5298	larval	version_1
1897	7341	larval	version_1
623	3728	larval	version_1
1089	3654	larval	version_1
2496	13161	larval	version_1
1189	4558	larval	version_1
987	2592	larval	version_1
1562	7053	larval	version_1
2273	8782	larval	version_1
1761	5928	larval	version_1
1339	5668	larval	version_1
1601	5360	larval	version_1
1754	8870	larval	version_1
790	2626	larval	version_1
1385	4754	larval	version_1
1011	3445	larval	version_1
3220	26998	larval	version_1
2324	15216	larval	version_1
2291	8997	larval	version_1
1305	4289	larval	version_1
1177	3482	larval	version_1
1246	4796	larval	version_1
1225	5470	larval	version_1
1105	3391	larval	version_1
1648	7932	larval	version_1
1313	5397	larval	version_1
1263	3684	larval	version_1
1612	5107	larval	version_1
743	3083	larval	version_1
1907	6054	larval	version_1
1239	4010	larval	version_1
2578	11154	larval	version_1
822	2823	larval	version_1
1393	4779	larval	version_1
993	5440	larval	version_1
898	2922	larval	version_1
983	3927	larval	version_1
1540	5949	larval	version_1
1504	5023	larval	version_1
1066	4062	larval	version_1
1444	4375	larval	version_1
1039	3587	larval	version_1
852	2677	larval	version_1
2843	12328	larval	version_1
1650	6119	larval	version_1
1457	5068	larval	version_1
1778	6841	larval	version_1
1649	4930	larval	version_1
1036	3678	larval	version_1
1933	7382	larval	version_1
2242	11809	larval	version_1
1237	5004	larval	version_1
1207	5548	larval	version_1
1167	4796	larval	version_1
1075	3154	larval	version_1
3460	26990	larval	version_1
1801	6802	larval	version_1
1225	3564	larval	version_1
1057	3722	larval	version_1
2966	14593	larval	version_1
965	2913	larval	version_1
1290	4742	larval	version_1
1179	3441	larval	version_1
1806	7465	larval	version_1
2101	13443	larval	version_1
1087	3397	larval	version_1
2284	13588	larval	version_1
919	2741	larval	version_1
1171	3082	larval	version_1
1445	5973	larval	version_1
1238	5364	larval	version_1
931	2574	larval	version_1
1108	3826	larval	version_1
998	2986	larval	version_1
1737	7322	larval	version_1
1344	4997	larval	version_1
1622	5751	larval	version_1
1075	3809	larval	version_1
1425	5958	larval	version_1
2588	11475	larval	version_1
1305	2961	larval	version_1
2040	8811	larval	version_1
1198	4177	larval	version_1
1765	6231	larval	version_1
2331	9166	larval	version_1
1439	4665	larval	version_1
1229	3390	larval	version_1
1106	4100	larval	version_1
1259	3856	larval	version_1
1766	6119	larval	version_1
1616	5618	larval	version_1
1462	5358	larval	version_1
1671	6738	larval	version_1
1069	3250	larval	version_1
1599	6311	larval	version_1
1152	3721	larval	version_1
1929	7506	larval	version_1
1749	6366	larval	version_1
2001	7917	larval	version_1
805	2590	larval	version_1
1398	5174	larval	version_1
1403	4649	larval	version_1
1364	6691	larval	version_1
1915	8010	larval	version_1
1228	5011	larval	version_1
838	2731	larval	version_1
1600	5246	larval	version_1
1354	4606	larval	version_1
1499	5266	larval	version_1
1522	4662	larval	version_1
1387	5639	larval	version_1
1488	4848	larval	version_1
957	2623	larval	version_1
1360	5166	larval	version_1
3175	24223	larval	version_1
1744	6960	larval	version_1
1787	6310	larval	version_1
1363	3925	larval	version_1
1303	4689	larval	version_1
1865	6797	larval	version_1
948	4104	larval	version_1
1146	4528	larval	version_1
2580	15135	larval	version_1
1206	4378	larval	version_1
775	2554	larval	version_1
944	2995	larval	version_1
2323	8302	larval	version_1
2389	11132	larval	version_1
1105	3238	larval	version_1
1217	2854	larval	version_1
1163	4452	larval	version_1
3349	15179	larval	version_1
1418	4360	larval	version_1
1130	4305	larval	version_1
1516	5464	larval	version_1
1568	4370	larval	version_1
1777	7232	larval	version_1
2392	11657	larval	version_1
1744	7295	larval	version_1
1512	5791	larval	version_1
1173	4101	larval	version_1
2245	10404	larval	version_1
2335	9713	larval	version_1
1950	8533	larval	version_1
1184	4454	larval	version_1
1273	4658	larval	version_1
1839	6194	larval	version_1
1523	5204	larval	version_1
1327	5621	larval	version_1
849	3749	larval	version_1
941	2697	larval	version_1
1492	5653	larval	version_1
1206	5055	larval	version_1
1333	3651	larval	version_1
1108	4568	larval	version_1
866	3028	larval	version_1
1415	4596	larval	version_1
2953	21904	larval	version_1
3182	15203	larval	version_1
1392	4782	larval	version_1
2340	15948	larval	version_1
1179	5666	larval	version_1
1899	6136	larval	version_1
1301	5303	larval	version_1
776	5979	larval	version_1
2563	18958	larval	version_1
2246	9864	larval	version_1
1328	4614	larval	version_1
1590	6578	larval	version_1
1706	7366	larval	version_1
1207	4396	larval	version_1
1274	5871	larval	version_1
2267	11914	larval	version_1
1516	6384	larval	version_1
2166	10248	larval	version_1
1441	4818	larval	version_1
1085	3398	larval	version_1
1875	6935	larval	version_1
1519	5433	larval	version_1
1237	4366	larval	version_1
1195	4149	larval	version_1
1597	8671	larval	version_1
935	2719	larval	version_1
3030	15874	larval	version_1
1201	4965	larval	version_1
1539	6673	larval	version_1
1830	7725	larval	version_1
1164	4055	larval	version_1
1292	4945	larval	version_1
1088	4528	larval	version_1
1061	4282	larval	version_1
1569	5954	larval	version_1
1278	5109	larval	version_1
3028	14532	larval	version_1
801	2678	larval	version_1
1170	5160	larval	version_1
1024	3604	larval	version_1
1915	7201	larval	version_1
1312	3496	larval	version_1
1006	2856	larval	version_1
1247	5364	larval	version_1
3921	25915	larval	version_1
1055	3313	larval	version_1
1277	5152	larval	version_1
1578	5765	larval	version_1
1572	5572	larval	version_1
1401	4875	larval	version_1
1399	3682	larval	version_1
1292	3974	larval	version_1
1107	3567	larval	version_1
969	3313	larval	version_1
1361	5901	larval	version_1
954	4056	larval	version_1
1157	4802	larval	version_1
1559	6322	larval	version_1
986	4116	larval	version_1
2273	13242	larval	version_1
2141	8863	larval	version_1
1927	8658	larval	version_1
1675	7248	larval	version_1
945	3635	larval	version_1
1080	5860	larval	version_1
1145	4085	larval	version_1
847	2615	larval	version_1
1353	5234	larval	version_1
1297	5606	larval	version_1
2033	8439	larval	version_1
766	2865	larval	version_1
1263	3595	larval	version_1
2259	7916	larval	version_1
1759	6061	larval	version_1
2314	7710	larval	version_1
1088	4534	larval	version_1
1995	8740	larval	version_1
2718	13141	larval	version_1
1269	5007	larval	version_1
1453	6264	larval	version_1
1123	3760	larval	version_1
1511	4519	larval	version_1
1229	4748	larval	version_1
1144	3970	larval	version_1
1901	6834	larval	version_1
847	2824	larval	version_1
1242	3748	larval	version_1
2399	11336	larval	version_1
713	3434	larval	version_1
1118	3487	larval	version_1
1045	3661	larval	version_1
946	3498	larval	version_1
1388	4802	larval	version_1
1499	6138	larval	version_1
1807	7581	larval	version_1
1725	6102	larval	version_1
1108	3618	larval	version_1
1729	6243	larval	version_1
1253	3919	larval	version_1
798	2609	larval	version_1
1167	4163	larval	version_1
2101	12395	larval	version_1
1320	5577	larval	version_1
1295	6579	larval	version_1
1261	4447	larval	version_1
1653	5784	larval	version_1
1844	7287	larval	version_1
1913	14459	larval	version_1
2697	11329	larval	version_1
1980	8747	larval	version_1
1028	3455	larval	version_1
2503	11649	larval	version_1
1761	5272	larval	version_1
2013	11784	larval	version_1
1974	7807	larval	version_1
1241	4869	larval	version_1
887	3500	larval	version_1
1322	4013	larval	version_1
1129	3705	larval	version_1
1176	3597	larval	version_1
898	3661	larval	version_1
2175	8900	larval	version_1
986	3913	larval	version_1
2365	10912	larval	version_1
1568	4920	larval	version_1
907	2744	larval	version_1
1305	4452	larval	version_1
1629	7962	larval	version_1
1257	3283	larval	version_1
1782	7145	larval	version_1
3400	44147	larval	version_1
955	3121	larval	version_1
1393	4586	larval	version_1
997	2548	larval	version_1
1972	7056	larval	version_1
1234	3879	larval	version_1
941	2629	larval	version_1
950	2989	larval	version_1
2122	10628	larval	version_1
938	2989	larval	version_1
1753	4939	larval	version_1
1462	4237	larval	version_1
1061	2944	larval	version_1
1151	3767	larval	version_1
939	3331	larval	version_1
1706	8937	larval	version_1
774	3343	larval	version_1
1352	4779	larval	version_1
1519	5764	larval	version_1
1533	5418	larval	version_1
1350	4747	larval	version_1
2327	12048	larval	version_1
1213	3773	larval	version_1
1461	4743	larval	version_1
3090	21768	larval	version_1
1223	4142	larval	version_1
1673	5684	larval	version_1
1290	7557	larval	version_1
3169	25239	larval	version_1
1635	5660	larval	version_1
1690	5904	larval	version_1
2270	10698	larval	version_1
1577	5715	larval	version_1
1302	7273	larval	version_1
1859	11501	larval	version_1
1758	6238	larval	version_1
781	3119	larval	version_1
2402	10867	larval	version_1
3253	16260	larval	version_1
1663	4648	larval	version_1
607	2589	larval	version_1
1011	2623	larval	version_1
972	2725	larval	version_1
978	3585	larval	version_1
1301	5117	larval	version_1
1615	6044	larval	version_1
1142	4139	larval	version_1
1564	5370	larval	version_1
1012	4655	larval	version_1
1535	5213	larval	version_1
1449	6254	larval	version_1
2411	12862	larval	version_1
1462	3747	larval	version_1
2376	10436	larval	version_1
1100	2958	larval	version_1
1820	4975	larval	version_1
1963	5729	larval	version_1
1090	5175	larval	version_1
1132	3918	larval	version_1
1193	4165	larval	version_1
1788	9888	larval	version_1
1501	6470	larval	version_1
1170	4525	larval	version_1
1583	5242	larval	version_1
721	2595	larval	version_1
1674	6030	larval	version_1
1208	3585	larval	version_1
2320	15880	larval	version_1
707	2532	larval	version_1
1285	4945	larval	version_1
905	3170	larval	version_1
1537	4749	larval	version_1
1195	4302	larval	version_1
1450	3745	larval	version_1
1061	3178	larval	version_1
1178	4292	larval	version_1
2532	12608	larval	version_1
2383	10321	larval	version_1
1549	6124	larval	version_1
1589	4290	larval	version_1
1254	4418	larval	version_1
1027	5122	larval	version_1
1444	5020	larval	version_1
1893	7625	larval	version_1
1678	5744	larval	version_1
1995	8231	larval	version_1
1182	3810	larval	version_1
1630	7869	larval	version_1
818	3751	larval	version_1
1513	6343	larval	version_1
1087	2890	larval	version_1
1325	4501	larval	version_1
2768	16385	larval	version_1
1112	4041	larval	version_1
1521	4070	larval	version_1
1549	4539	larval	version_1
1239	6741	larval	version_1
1862	6260	larval	version_1
1523	5792	larval	version_1
2390	15300	larval	version_1
1028	3732	larval	version_1
1021	4917	larval	version_1
1511	6261	larval	version_1
1800	8171	larval	version_1
1707	8922	larval	version_1
1444	5363	larval	version_1
2667	13341	larval	version_1
1331	3547	larval	version_1
1095	2537	larval	version_1
1020	3222	larval	version_1
1359	4998	larval	version_1
2734	12284	larval	version_1
906	4313	larval	version_1
1648	5342	larval	version_1
1152	2852	larval	version_1
1031	3496	larval	version_1
1736	7956	larval	version_1
1757	8646	larval	version_1
1577	5745	larval	version_1
1017	3732	larval	version_1
928	3229	larval	version_1
3012	17278	larval	version_1
2219	10822	larval	version_1
1515	4901	larval	version_1
2146	12299	larval	version_1
897	3754	larval	version_1
1424	6538	larval	version_1
2000	9157	larval	version_1
1637	5366	larval	version_1
1206	4420	larval	version_1
1029	3942	larval	version_1
1675	4586	larval	version_1
1184	3643	larval	version_1
857	3343	larval	version_1
1275	3558	larval	version_1
1508	5026	larval	version_1
2353	10972	larval	version_1
824	2853	larval	version_1
3416	29285	larval	version_1
3375	16928	larval	version_1
1375	4981	larval	version_1
1686	5682	larval	version_1
1389	4606	larval	version_1
789	4026	larval	version_1
1616	5704	larval	version_1
1023	3274	larval	version_1
1309	3689	larval	version_1
2127	15158	larval	version_1
1053	3841	larval	version_1
2642	19068	larval	version_1
832	2894	larval	version_1
1162	4490	larval	version_1
1855	6120	larval	version_1
1114	3907	larval	version_1
2084	6891	larval	version_1
1340	3527	larval	version_1
1431	6215	larval	version_1
993	3438	larval	version_1
2055	8111	larval	version_1
1000	4876	larval	version_1
1100	2941	larval	version_1
2775	18376	larval	version_1
2905	12984	larval	version_1
1306	4751	larval	version_1
2780	21766	larval	version_1
845	2522	larval	version_1
1277	3916	larval	version_1
1147	4108	larval	version_1
1140	3712	larval	version_1
1377	5271	larval	version_1
1195	4565	larval	version_1
2037	7032	larval	version_1
1346	3845	larval	version_1
902	2595	larval	version_1
1601	5168	larval	version_1
935	3821	larval	version_1
1248	3541	larval	version_1
3269	15728	larval	version_1
1629	6726	larval	version_1
1592	6803	larval	version_1
1174	4120	larval	version_1
1552	5199	larval	version_1
2179	7110	larval	version_1
1340	4953	larval	version_1
1296	5186	larval	version_1
2319	8632	larval	version_1
1245	4486	larval	version_1
1217	4749	larval	version_1
780	4536	larval	version_1
1274	4259	larval	version_1
1064	3838	larval	version_1
995	3482	larval	version_1
910	3115	larval	version_1
1505	4778	larval	version_1
1435	5595	larval	version_1
1483	4344	larval	version_1
1462	5130	larval	version_1
997	2768	larval	version_1
987	3137	larval	version_1
1285	3845	larval	version_1
1469	6292	larval	version_1
1343	5292	larval	version_1
1198	4117	larval	version_1
1183	4486	larval	version_1
1029	3555	larval	version_1
1257	6230	larval	version_1
1077	4276	larval	version_1
1229	3715	larval	version_1
1302	5319	larval	version_1
1466	5332	larval	version_1
937	3006	larval	version_1
2998	19207	larval	version_1
1792	7843	larval	version_1
901	3431	larval	version_1
1244	4472	larval	version_1
2188	12029	larval	version_1
1451	5165	larval	version_1
904	3199	larval	version_1
2238	8925	larval	version_1
889	3019	larval	version_1
1808	7487	larval	version_1
2872	14825	larval	version_1
1678	5528	larval	version_1
989	2763	larval	version_1
863	3765	larval	version_1
1579	4479	larval	version_1
1225	4847	larval	version_1
1033	2863	larval	version_1
1467	5730	larval	version_1
2402	12363	larval	version_1
1336	3229	larval	version_1
1114	3676	larval	version_1
2137	11401	larval	version_1
1198	3937	larval	version_1
1621	6592	larval	version_1
1234	4173	larval	version_1
1841	8665	larval	version_1
968	2799	larval	version_1
1205	4144	larval	version_1
1216	4312	larval	version_1
1510	4727	larval	version_1
969	3081	larval	version_1
1597	6115	larval	version_1
2389	10917	larval	version_1
1484	8399	larval	version_1
1785	6753	larval	version_1
1469	5779	larval	version_1
1075	2754	larval	version_1
1263	4666	larval	version_1
1135	4918	larval	version_1
1690	4781	larval	version_1
2146	9735	larval	version_1
2287	9294	larval	version_1
1499	6034	larval	version_1
943	4175	larval	version_1
1369	5125	larval	version_1
1128	3719	larval	version_1
1261	4276	larval	version_1
1500	4815	larval	version_1
1334	7496	larval	version_1
2570	16827	larval	version_1
833	2845	larval	version_1
1011	4007	larval	version_1
1289	4255	larval	version_1
1032	4426	larval	version_1
1437	5690	larval	version_1
3070	28494	larval	version_1
1741	7282	larval	version_1
1339	4623	larval	version_1
1584	4161	larval	version_1
1175	5929	larval	version_1
1883	8977	larval	version_1
1326	4982	larval	version_1
3755	22264	larval	version_1
1490	5410	larval	version_1
1130	6161	larval	version_1
1791	5843	larval	version_1
1203	4562	larval	version_1
1058	3689	larval	version_1
1300	3884	larval	version_1
3435	21867	larval	version_1
2963	19473	larval	version_1
1067	2888	larval	version_1
2516	8913	larval	version_1
3439	30447	larval	version_1
1361	5856	larval	version_1
1377	4182	larval	version_1
1420	4942	larval	version_1
1783	4957	larval	version_1
942	3051	larval	version_1
2439	9693	larval	version_1
1598	5058	larval	version_1
931	4900	larval	version_1
1459	4840	larval	version_1
1159	4454	larval	version_1
1200	5631	larval	version_1
966	4086	larval	version_1
1014	3795	larval	version_1
2266	12089	larval	version_1
1293	3896	larval	version_1
1927	6736	larval	version_1
1482	5545	larval	version_1
1229	6308	larval	version_1
1255	4370	larval	version_1
2548	13600	larval	version_1
1543	6398	larval	version_1
1481	7117	larval	version_1
716	2757	larval	version_1
2568	14084	larval	version_1
1591	4422	larval	version_1
1561	6039	larval	version_1
908	2969	larval	version_1
1473	5142	larval	version_1
1662	6253	larval	version_1
1434	6154	larval	version_1
1733	5401	larval	version_1
2163	8758	larval	version_1
1951	7619	larval	version_1
3408	23517	larval	version_1
878	3003	larval	version_1
1277	4841	larval	version_1
1411	6521	larval	version_1
1111	4309	larval	version_1
1107	3895	larval	version_1
1632	6575	larval	version_1
1812	6984	larval	version_1
821	3169	larval	version_1
1552	7971	larval	version_1
1737	7501	larval	version_1
1298	5161	larval	version_1
698	3066	larval	version_1
1002	3086	larval	version_1
942	3366	larval	version_1
1221	3491	larval	version_1
1141	4610	larval	version_1
1764	6559	larval	version_1
1608	4519	larval	version_1
1897	9145	larval	version_1
2201	12597	larval	version_1
707	2744	larval	version_1
1333	4682	larval	version_1
1489	4873	larval	version_1
1086	4333	larval	version_1
1980	8099	larval	version_1
1104	5405	larval	version_1
988	4283	larval	version_1
1550	5758	larval	version_1
3197	18503	larval	version_1
1267	4926	larval	version_1
1924	7738	larval	version_1
1580	5852	larval	version_1
1402	4919	larval	version_1
1757	7421	larval	version_1
1268	5193	larval	version_1
1318	7255	larval	version_1
2076	9018	larval	version_1
911	3877	larval	version_1
1641	6549	larval	version_1
1198	4420	larval	version_1
1223	4693	larval	version_1
1400	4943	larval	version_1
1576	8322	larval	version_1
957	3267	larval	version_1
1130	3178	larval	version_1
1401	5291	larval	version_1
1680	7727	larval	version_1
2600	12538	larval	version_1
1510	5276	larval	version_1
2859	25260	larval	version_1
1285	5429	larval	version_1
2586	10790	larval	version_1
2288	11644	larval	version_1
2146	12664	larval	version_1
1442	5298	larval	version_1
1568	3474	larval	version_1
1563	5440	larval	version_1
1170	3997	larval	version_1
1096	4158	larval	version_1
805	2768	larval	version_1
2443	11845	larval	version_1
2043	11070	larval	version_1
1053	3546	larval	version_1
1565	6413	larval	version_1
1230	5147	larval	version_1
1152	3327	larval	version_1
1238	4803	larval	version_1
1334	5457	larval	version_1
1130	4629	larval	version_1
1199	3591	larval	version_1
1390	3163	larval	version_1
1134	3833	larval	version_1
2172	8220	larval	version_1
