nFeature_RNA	nCount_RNA	stage	version
2642	14753	larval	version_1
3219	20763	larval	version_1
2594	14964	larval	version_1
1390	4747	larval	version_1
2876	18872	larval	version_1
2275	13554	larval	version_1
846	3640	larval	version_1
2631	15442	larval	version_1
1877	12445	larval	version_1
3061	17025	larval	version_1
3171	19672	larval	version_1
2870	15687	larval	version_1
1954	8102	larval	version_1
1337	4693	larval	version_1
1580	6284	larval	version_1
2108	10213	larval	version_1
3206	19403	larval	version_1
2519	14215	larval	version_1
1680	5020	larval	version_1
2798	16005	larval	version_1
3385	20066	larval	version_1
2383	12393	larval	version_1
1941	6498	larval	version_1
3542	22301	larval	version_1
1350	4566	larval	version_1
1122	4028	larval	version_1
2432	12668	larval	version_1
1385	5554	larval	version_1
2952	19098	larval	version_1
2476	14456	larval	version_1
2109	8225	larval	version_1
1660	8372	larval	version_1
2478	12794	larval	version_1
1816	10269	larval	version_1
2844	15993	larval	version_1
2650	13982	larval	version_1
1535	8133	larval	version_1
2449	12309	larval	version_1
2393	11209	larval	version_1
2264	10784	larval	version_1
1122	3899	larval	version_1
1831	9992	larval	version_1
1450	5398	larval	version_1
3002	15408	larval	version_1
1814	8817	larval	version_1
2087	11243	larval	version_1
1878	7367	larval	version_1
2025	9513	larval	version_1
1502	4635	larval	version_1
1525	4987	larval	version_1
1819	7890	larval	version_1
2089	12421	larval	version_1
2509	13086	larval	version_1
2299	11055	larval	version_1
1982	10228	larval	version_1
2715	17177	larval	version_1
2475	15477	larval	version_1
2079	10228	larval	version_1
2429	10100	larval	version_1
2238	10827	larval	version_1
1559	5157	larval	version_1
2047	10381	larval	version_1
2372	12351	larval	version_1
1594	5423	larval	version_1
3460	24680	larval	version_1
1731	6033	larval	version_1
2858	16655	larval	version_1
1568	4755	larval	version_1
1269	4972	larval	version_1
899	3007	larval	version_1
2283	10706	larval	version_1
2591	17836	larval	version_1
2269	10880	larval	version_1
2040	10718	larval	version_1
2281	12141	larval	version_1
1787	8396	larval	version_1
2039	11913	larval	version_1
1989	11027	larval	version_1
3489	21395	larval	version_1
2550	14690	larval	version_1
2134	15001	larval	version_1
1632	5486	larval	version_1
3442	21831	larval	version_1
2140	11485	larval	version_1
1572	6289	larval	version_1
1326	5126	larval	version_1
1673	5237	larval	version_1
2041	10985	larval	version_1
2699	16064	larval	version_1
2558	13793	larval	version_1
1237	4096	larval	version_1
2618	15357	larval	version_1
2739	16091	larval	version_1
2750	15597	larval	version_1
2368	11093	larval	version_1
2646	14250	larval	version_1
1998	11013	larval	version_1
1943	9472	larval	version_1
2117	10082	larval	version_1
2659	14124	larval	version_1
2244	12843	larval	version_1
2720	14181	larval	version_1
2931	17868	larval	version_1
2479	12581	larval	version_1
2652	15045	larval	version_1
1455	4849	larval	version_1
1327	4322	larval	version_1
2846	16439	larval	version_1
2210	11649	larval	version_1
1352	5699	larval	version_1
2814	17546	larval	version_1
2558	12595	larval	version_1
2269	11182	larval	version_1
2014	12348	larval	version_1
2295	11746	larval	version_1
1462	5590	larval	version_1
2230	11411	larval	version_1
2256	12635	larval	version_1
2523	14820	larval	version_1
2312	14341	larval	version_1
2378	11750	larval	version_1
1775	7516	larval	version_1
1713	10772	larval	version_1
2775	14953	larval	version_1
2280	10283	larval	version_1
1325	8199	larval	version_1
2161	12095	larval	version_1
1247	4525	larval	version_1
1451	7023	larval	version_1
1685	6330	larval	version_1
2867	16633	larval	version_1
2265	9428	larval	version_1
1799	9860	larval	version_1
1665	4835	larval	version_1
2510	13050	larval	version_1
2282	13113	larval	version_1
1643	5214	larval	version_1
1526	7022	larval	version_1
1036	2993	larval	version_1
1655	7974	larval	version_1
1483	5513	larval	version_1
2518	14159	larval	version_1
1950	12581	larval	version_1
2227	9771	larval	version_1
2080	10126	larval	version_1
1426	5940	larval	version_1
2109	9780	larval	version_1
876	2762	larval	version_1
1808	9732	larval	version_1
2908	17493	larval	version_1
1335	4222	larval	version_1
3311	21274	larval	version_1
3257	20199	larval	version_1
1473	4642	larval	version_1
1430	6143	larval	version_1
2254	12694	larval	version_1
2736	16116	larval	version_1
1825	9497	larval	version_1
1337	4933	larval	version_1
3062	22245	larval	version_1
2222	10813	larval	version_1
1364	4924	larval	version_1
2059	10367	larval	version_1
2704	14065	larval	version_1
2128	12523	larval	version_1
1141	4159	larval	version_1
2482	8616	larval	version_1
2164	12397	larval	version_1
1855	9130	larval	version_1
1461	6111	larval	version_1
1958	10365	larval	version_1
1072	4408	larval	version_1
2349	11416	larval	version_1
1093	4504	larval	version_1
1779	5676	larval	version_1
2399	10376	larval	version_1
2905	15557	larval	version_1
2335	13147	larval	version_1
1472	4481	larval	version_1
2476	15791	larval	version_1
1999	9785	larval	version_1
865	2822	larval	version_1
3583	24369	larval	version_1
1321	4657	larval	version_1
1089	3743	larval	version_1
2193	11491	larval	version_1
2828	20124	larval	version_1
2773	16843	larval	version_1
1836	4857	larval	version_1
2284	9835	larval	version_1
2407	13058	larval	version_1
1722	7885	larval	version_1
2369	12377	larval	version_1
760	2673	larval	version_1
1484	6722	larval	version_1
1133	4276	larval	version_1
1804	8202	larval	version_1
2498	14629	larval	version_1
1502	7579	larval	version_1
1607	8487	larval	version_1
2464	14772	larval	version_1
1915	6569	larval	version_1
2394	13823	larval	version_1
1422	4438	larval	version_1
1621	8808	larval	version_1
1159	4700	larval	version_1
1826	9034	larval	version_1
3374	22373	larval	version_1
1128	4090	larval	version_1
1370	5260	larval	version_1
817	2634	larval	version_1
2556	13648	larval	version_1
2427	13199	larval	version_1
2294	9680	larval	version_1
2800	15820	larval	version_1
1777	8933	larval	version_1
1624	7518	larval	version_1
1780	10267	larval	version_1
1328	3770	larval	version_1
2028	11252	larval	version_1
1493	6994	larval	version_1
2511	11931	larval	version_1
1218	4442	larval	version_1
1912	11480	larval	version_1
1472	4741	larval	version_1
2703	14649	larval	version_1
1462	5897	larval	version_1
925	2830	larval	version_1
2479	14473	larval	version_1
2673	16553	larval	version_1
2366	11516	larval	version_1
1538	6381	larval	version_1
2479	14247	larval	version_1
1809	5435	larval	version_1
1324	6909	larval	version_1
1138	3287	larval	version_1
2479	10814	larval	version_1
3746	26719	larval	version_1
2213	11755	larval	version_1
2119	10869	larval	version_1
1693	7209	larval	version_1
1902	9172	larval	version_1
2840	17931	larval	version_1
1639	4749	larval	version_1
1266	5174	larval	version_1
2722	15072	larval	version_1
1959	8828	larval	version_1
1196	4505	larval	version_1
1333	4564	larval	version_1
2338	10237	larval	version_1
2236	13621	larval	version_1
3183	25229	larval	version_1
2088	13154	larval	version_1
952	3813	larval	version_1
3421	22625	larval	version_1
2576	15754	larval	version_1
1719	6061	larval	version_1
1680	5898	larval	version_1
2237	10925	larval	version_1
837	3392	larval	version_1
2893	15395	larval	version_1
3057	17489	larval	version_1
1762	6483	larval	version_1
3441	27285	larval	version_1
2314	11102	larval	version_1
1411	4962	larval	version_1
2020	8764	larval	version_1
2144	10893	larval	version_1
3408	23486	larval	version_1
2401	13062	larval	version_1
1670	8361	larval	version_1
1521	4131	larval	version_1
2112	13099	larval	version_1
2441	13619	larval	version_1
3084	18489	larval	version_1
1304	4558	larval	version_1
1591	7695	larval	version_1
1682	7684	larval	version_1
1881	7902	larval	version_1
3439	21623	larval	version_1
2774	14972	larval	version_1
3580	23790	larval	version_1
2419	15115	larval	version_1
1363	4670	larval	version_1
2465	8679	larval	version_1
996	2999	larval	version_1
2741	17002	larval	version_1
2605	15937	larval	version_1
2353	14664	larval	version_1
1925	10554	larval	version_1
2401	11828	larval	version_1
1139	3736	larval	version_1
2294	11075	larval	version_1
2529	15320	larval	version_1
2411	12762	larval	version_1
1515	5679	larval	version_1
2425	13873	larval	version_1
2492	14683	larval	version_1
2451	13365	larval	version_1
1401	5192	larval	version_1
1163	4471	larval	version_1
855	3096	larval	version_1
2810	16841	larval	version_1
1985	11538	larval	version_1
2248	8732	larval	version_1
3773	26794	larval	version_1
2021	9772	larval	version_1
2926	17896	larval	version_1
1984	9960	larval	version_1
1793	5433	larval	version_1
2237	13815	larval	version_1
1137	3096	larval	version_1
2518	15224	larval	version_1
2219	10883	larval	version_1
2485	11369	larval	version_1
3654	22732	larval	version_1
1231	4275	larval	version_1
2009	10019	larval	version_1
1853	8108	larval	version_1
1247	3526	larval	version_1
1724	6059	larval	version_1
2266	13991	larval	version_1
2139	11221	larval	version_1
2930	15849	larval	version_1
1843	9644	larval	version_1
1962	8883	larval	version_1
1361	4231	larval	version_1
1353	5644	larval	version_1
1831	5125	larval	version_1
1620	9085	larval	version_1
1384	4619	larval	version_1
1529	6743	larval	version_1
2680	15098	larval	version_1
2938	17312	larval	version_1
1399	7582	larval	version_1
1576	4768	larval	version_1
2741	14300	larval	version_1
1455	4981	larval	version_1
2028	7147	larval	version_1
1561	6152	larval	version_1
3885	27415	larval	version_1
3098	20235	larval	version_1
1483	5467	larval	version_1
2512	15854	larval	version_1
2446	11315	larval	version_1
1195	4209	larval	version_1
2218	11068	larval	version_1
2554	14793	larval	version_1
3186	15870	larval	version_1
1454	4392	larval	version_1
2136	11467	larval	version_1
1945	10168	larval	version_1
2540	14245	larval	version_1
1759	5561	larval	version_1
2796	15052	larval	version_1
2251	10592	larval	version_1
1496	5403	larval	version_1
1612	8341	larval	version_1
2079	12108	larval	version_1
2014	8784	larval	version_1
1906	8562	larval	version_1
2105	11452	larval	version_1
2146	11343	larval	version_1
2017	8353	larval	version_1
2208	12001	larval	version_1
2495	14599	larval	version_1
2520	12034	larval	version_1
2203	12142	larval	version_1
1936	9307	larval	version_1
2441	13192	larval	version_1
2180	11496	larval	version_1
2907	20141	larval	version_1
1485	8108	larval	version_1
2368	14019	larval	version_1
3263	20747	larval	version_1
3304	19214	larval	version_1
2453	13333	larval	version_1
1781	9365	larval	version_1
2187	11691	larval	version_1
2087	12263	larval	version_1
2193	9920	larval	version_1
1144	4028	larval	version_1
2509	15523	larval	version_1
1362	3974	larval	version_1
2094	8965	larval	version_1
1885	10557	larval	version_1
2405	11442	larval	version_1
1245	6124	larval	version_1
1592	8123	larval	version_1
2997	17240	larval	version_1
1536	4974	larval	version_1
2215	13289	larval	version_1
1076	6176	larval	version_1
1565	7489	larval	version_1
2630	12614	larval	version_1
3520	21744	larval	version_1
2338	12663	larval	version_1
1579	8242	larval	version_1
2371	12622	larval	version_1
1600	5348	larval	version_1
2818	15326	larval	version_1
2026	6590	larval	version_1
2487	13520	larval	version_1
2741	15682	larval	version_1
2906	14720	larval	version_1
2715	16778	larval	version_1
1281	5306	larval	version_1
2920	17462	larval	version_1
1575	5402	larval	version_1
1703	4935	larval	version_1
1294	5957	larval	version_1
2128	11153	larval	version_1
2653	15468	larval	version_1
2705	14703	larval	version_1
2551	15727	larval	version_1
3026	18126	larval	version_1
2818	15513	larval	version_1
1414	4534	larval	version_1
1630	5299	larval	version_1
1538	5647	larval	version_1
2755	12575	larval	version_1
2665	16835	larval	version_1
1517	4839	larval	version_1
1853	5755	larval	version_1
2385	13704	larval	version_1
3118	19325	larval	version_1
2744	17263	larval	version_1
1440	5058	larval	version_1
3691	27683	larval	version_1
2199	11781	larval	version_1
1682	8690	larval	version_1
3749	27412	larval	version_1
3406	23266	larval	version_1
2085	11425	larval	version_1
2863	16778	larval	version_1
985	4217	larval	version_1
2965	17717	larval	version_1
3484	23075	larval	version_1
3571	22878	larval	version_1
2134	10213	larval	version_1
1381	5453	larval	version_1
1331	4774	larval	version_1
2360	15604	larval	version_1
1575	4746	larval	version_1
