PC_1	PC_2	PC_3	orig.ident	CellType
-1.97342414724312	2.89890722010743	1.74993351703942	adult19	*
-2.90120676484145	4.81036209077637	1.00368659546238	adult19	*
4.88966426019665	1.58947145248484	6.33397429313567	adult19	*
-2.88318752870336	3.30984129366374	1.21722438376858	adult19	*
2.30626467603355	-2.0747521398138	3.84099597754346	adult19	*
0.103769608674813	4.95838659425711	1.31560497465852	adult19	*
2.71928019242164	1.91149291980549	4.94379184459518	adult19	*
1.45864450170464	1.89416918889249	0.867372384285362	adult19	*
12.8271925432572	-2.78854887757176	9.03029026767915	adult19	*
14.0541521252096	-10.7945490318613	-10.9442688005835	adult19	*
-5.28133742422269	5.49884561891206	-1.98208390298048	adult19	*
-8.37284933923674	-17.7069416136312	-1.02428790138101	adult19	*
-4.44087927476437	3.73825871416056	-1.6391771184204	adult19	*
4.34489991530753	3.01989583827493	-9.48480234486842	adult19	*
-1.35016649572564	4.39500258255131	1.86809532908133	adult19	*
-0.392047956214885	2.2713397291241	0.928656901080189	adult19	*
-1.98267229726804	4.51279855281961	-0.133655160705286	adult19	*
-0.0159218464850189	2.54738708259611	1.94227686282324	adult19	*
7.06386465678529	0.696512489057672	8.78217974536855	adult19	*
-9.41101579356206	-5.14817600973931	-2.24023549439165	adult19	*
-4.94333146291083	4.68181471139432	-0.337596180062883	adult19	*
-4.86913295101045	2.82687435835803	-0.873927979174409	adult19	*
-3.10202625655062	5.02512995723116	-0.927332630445335	adult19	*
-6.20044654179092	3.4270251887082	-0.248210233760764	adult19	*
-2.68622203870076	3.63366792252411	0.47392526476712	adult19	*
15.2748785048187	-2.5455283439087	-11.7228181245922	adult19	*
-1.92119470857833	4.59840182517898	0.00123315041954168	adult19	*
-4.72631282894588	5.5478280226585	-1.05042089839701	adult19	*
6.15666643848845	-0.324090489829724	8.63051668829178	adult19	*
2.75831082907106	4.43201536196957	3.34271334623548	adult19	*
11.2275059546397	-1.95496803080083	-7.1465864594212	adult19	*
1.24126761283169	1.78728741371419	2.12245393748655	adult19	*
1.0772721355271	1.44638328110997	5.03239424551365	adult19	*
-2.53610909175664	0.478964217640047	-2.28295974811024	adult19	*
-1.41114512504495	-0.0591500336346453	2.29721368275769	adult19	*
-5.55716105020495	4.05704426410635	-2.19982647414319	adult19	*
3.22747912335594	-0.0363791287542025	6.50189299760016	adult19	*
-2.76313115488628	2.24119687587631	-0.123973509251858	adult19	*
18.5068565583136	-4.69938127686611	13.2905257894531	adult19	*
4.32446201446988	2.6876259207682	3.95752417203953	adult19	*
-3.32463825107912	3.90095063223783	0.92441516750974	adult19	*
-4.38440275560061	4.8240551561788	-0.281790441309516	adult19	*
3.32099143238252	1.34890086217057	3.94398006411261	adult19	*
7.19209217698705	-5.36888911856879	-5.7191782986256	adult19	*
-5.42846928548933	2.83982111234779	-0.363827205543463	adult19	*
0.191714241903177	1.61071452144849	3.54805825284442	adult19	*
-2.74336046197416	3.4715880112947	-1.11300330684561	adult19	*
-4.19244005241086	4.62859537433895	-0.943411751006906	adult19	*
-2.30389657815467	5.63668617004163	0.340737912954751	adult19	*
1.61741311427139	1.32664245189266	3.93411612660602	adult19	*
1.52628477974519	1.76132747931665	2.59308235044621	adult19	*
1.10257888157412	1.85863330641832	3.41887640273533	adult19	*
-4.06117184840177	5.61798536104815	-1.08171596613362	adult19	*
5.41546797171205	-0.446215407644585	5.84950036915738	adult19	*
-2.20406904912644	2.5279408952173	1.40452333958041	adult19	*
7.47748510344813	0.0983204090372266	8.17290080300906	adult19	*
7.88103048618489	0.846949798734229	-15.886042794238	adult19	*
-3.64430708583012	3.57063900493607	0.323314543043668	adult19	*
0.230313101953685	3.31500863311323	0.980679409646012	adult19	*
-3.1961484185768	4.6430507694807	0.703012670054433	adult19	*
-1.74590147111511	2.66326255465503	-0.685117313814134	adult19	*
11.2709052522753	-1.06457166041827	10.2374849354159	adult19	*
-2.24847989492684	4.6719032297168	-1.93505044538246	adult19	*
5.85411832127352	0.426161539975227	6.04614952118454	adult19	*
-2.71882696233437	4.0892504497415	-0.76418060595475	adult19	*
-3.08447358898095	3.56088646758985	-1.26564852870652	adult19	*
-2.77553013803001	4.32300889070556	-1.41386395841566	adult19	*
-5.23921657765944	4.23098610060324	-1.21760406130671	adult19	*
2.02882217840081	2.86195288865105	4.79804945731591	adult19	*
-8.17893203873086	-24.6531724138358	1.29539521859809	adult19	*
-3.9042840054589	3.73063123442503	-0.642496044982795	adult19	*
-4.83807324901548	5.91416678565042	-1.46106389728745	adult19	*
-2.85227988127132	2.86339513404795	0.226149436018462	adult19	*
-5.62715550950073	4.71901048239363	-0.845756769598799	adult19	*
8.23702643350283	-1.57188129122379	9.07373776721365	adult19	*
1.88109462438944	2.78343043033212	4.3473978364931	adult19	*
1.21920988752204	3.39758905985464	5.46533826051996	adult19	*
-1.24746321315776	4.23974225248815	1.3945513642893	adult19	*
3.184745933301	2.08092022187997	2.93118306326464	adult19	*
-0.797628408434492	1.95024574467023	2.30162433057504	adult19	*
13.1915533264344	-1.76784456642335	10.0394112483202	adult19	*
-5.59292569500773	-5.74911604261225	1.0479124507496	adult19	*
-1.74059593562082	1.42564593713756	3.92474912363766	adult19	*
2.96081080928253	1.77294895862201	6.51267536052278	adult19	*
1.8829052150099	-0.805069963442271	6.30169477065075	adult19	*
2.40746590153595	1.67284252978593	1.83752620427804	adult19	*
1.05381402431436	3.47833297337457	3.941642995653	adult19	*
-5.67384912452781	4.80555108470267	-0.940934751851493	adult19	*
12.9833758826157	-4.03680645026371	11.9376113336091	adult19	*
