gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
pnoca	3.15694600122896e-36	3.13660250001211	0.48	0.203	6.31389200245792e-33
pcdh9	2.57016437823372e-29	2.53205284740498	0.498	0.254	5.14032875646744e-26
nfasca	2.0186846934591e-27	0.965187856089263	0.867	0.699	4.03736938691819e-24
alcama	1.0442896665307e-23	0.796400582427825	0.902	0.783	2.08857933306141e-20
slc18a3a	1.7353863513186e-22	1.72358536808533	0.52	0.294	3.47077270263719e-19
nmu	1.39232415856449e-18	1.03874408870294	0.698	0.465	2.78464831712898e-15
CABZ01072077.1	8.12766404783514e-14	1.44276545614489	0.56	0.43	1.62553280956703e-10
si:dkey-1h6.8	1.303499428888e-13	2.13667017136242	0.413	0.273	2.60699885777601e-10
pik3ip1	2.94232154776965e-13	1.50297455802728	0.302	0.181	5.8846430955393e-10
dclk1b	1.63591176381769e-11	1.96125278308856	0.431	0.314	3.27182352763538e-08
syt1a	1.50978161379361e-10	0.535329042867958	0.804	0.761	3.01956322758722e-07
olfm1b	2.52696536412985e-10	1.69411725760302	0.418	0.313	5.05393072825971e-07
glis2a	1.59480531825361e-09	0.262690239243646	0.044	0.224	3.18961063650723e-06
parp1	7.66985014370389e-09	1.98147409505242	0.218	0.149	1.53397002874078e-05
fhl1b	4.91094382338594e-08	1.49157755813596	0.382	0.289	9.82188764677187e-05
rprma	1.43786474848172e-07	1.75672246537987	0.253	0.175	0.000287572949696344
gata3	5.30947559439555e-07	1.01427841664337	0.453	0.354	0.00106189511887911
sncgb	9.30498303341457e-07	0.314453939799072	0.053	0.207	0.00186099660668291
si:ch211-71m22.1	1.02724801731781e-06	0.38527593491022	0.067	0.22	0.00205449603463562
mdka	2.81081277717781e-06	1.32783521799744	0.156	0.123	0.00562162555435562
si:dkeyp-51f12.2	3.3267878793964e-06	0.261569889841236	0.12	0.291	0.00665357575879279
spock3	3.38941884978456e-06	1.3670077421193	0.222	0.173	0.00677883769956912
gch1	7.3572051003023e-06	0.821286684454564	0.48	0.416	0.0147144102006046
snap25b	8.76560358398423e-06	1.78651513640845	0.298	0.239	0.0175312071679685
itm2ca	1.45221297226897e-05	0.294826709496069	0.156	0.336	0.0290442594453793
osbpl3b	1.62937600157372e-05	0.331001275377455	0.076	0.231	0.0325875200314743
