UMAP_1	UMAP_2	seurat_clusters	orig.ident	CellType
-0.298569097158941	7.55595210760595	1	adult19	*
-0.412783279058966	7.61790517538549	1	adult19	*
-3.81660492622617	7.59762719839574	3	adult19	*
0.805841372373072	-5.69790598184107	2	adult19	*
3.28108279502627	-12.1443519237661	15	adult19	*
-0.954815908310446	6.34121946066381	12	adult19	*
-2.55063147747281	8.0938606616831	3	adult19	*
3.53598181998965	-11.622496569457	15	adult19	*
-4.45387752258542	3.95808390348913	9	adult19	*
-7.59563811027768	3.66002944677831	14	adult19	*
1.94482223785159	-4.20323559075831	0	adult19	*
8.40581910407778	-1.40068336755274	8	adult19	*
2.58804957664248	-3.87972255975245	0	adult19	*
-10.1153066893792	3.24866000383855	6	adult19	*
0.74842636382815	-5.93023248940943	2	adult19	*
-0.749104402003321	-5.51611086160182	5	adult19	*
-0.925864464578661	-3.84568306237696	5	adult19	*
-0.521226241228613	-5.39672991067408	10	adult19	*
-3.47022946083311	5.66976026266576	9	adult19	*
8.62902943885562	-1.85201259881495	8	adult19	*
2.04642741477725	-4.40423437386988	0	adult19	*
1.80354635513064	-4.06337400704859	0	adult19	*
1.40530221259829	-4.95145221978663	0	adult19	*
2.10758797919985	-4.05322262078761	0	adult19	*
-0.683554335472616	-4.49539705544947	5	adult19	*
-8.35714419090513	4.06338885992528	14	adult19	*
-1.39575184786085	-4.03579756051539	5	adult19	*
1.10228960311648	-3.18601557046412	0	adult19	*
-3.7286420603967	7.81279758184911	3	adult19	*
-2.14409930908445	7.76270822256566	3	adult19	*
-8.37943537437681	3.20367542475225	14	adult19	*
-2.01395411693815	-4.96439834863185	5	adult19	*
-0.303442194101843	-7.13899513513087	10	adult19	*
-2.10588641369108	-3.97876545220851	5	adult19	*
1.10109107291934	-6.7811040523672	10	adult19	*
1.30709163940188	-3.11969896584986	0	adult19	*
-0.732331230280432	-7.14215084344386	10	adult19	*
-0.77691470363501	6.86554387777807	1	adult19	*
-4.60462768280271	6.12950614660741	16	adult19	*
-2.83982260429624	7.63952020376684	3	adult19	*
0.0489728907370243	7.21781161993505	1	adult19	*
0.59132187164065	-3.95183464318751	0	adult19	*
-2.93270237648252	6.02249387472631	9	adult19	*
5.1750957230353	-1.96343656808375	21	adult19	*
2.76388947761294	-4.11415573388575	0	adult19	*
0.269139216306177	-7.02294441491603	10	adult19	*
-3.39714296066526	2.31599870890142	11	adult19	*
4.87169329917666	-5.09575172692774	0	adult19	*
-0.625529198882612	5.92979005545141	12	adult19	*
-0.512980445263418	-6.99004169732569	10	adult19	*
3.3363882759833	-11.7042827251577	15	adult19	*
-1.96237559520963	8.59589866369726	3	adult19	*
1.57224385535952	-3.78813024789332	0	adult19	*
-1.92373414242032	-5.46450277596949	10	adult19	*
1.55048863685366	-6.35311075479029	2	adult19	*
-4.23505122864011	7.37196449011327	3	adult19	*
-10.3428562422967	4.65444687574865	6	adult19	*
0.483747051122156	-4.27354284554957	5	adult19	*
-3.79035074913267	2.63959339827062	11	adult19	*
0.542385385396448	7.60957530706884	1	adult19	*
-1.56556852066282	4.55002907484533	12	adult19	*
-4.22156484329465	6.47301582067968	16	adult19	*
-1.44050188266996	-4.00539680749415	5	adult19	*
-4.11239559852842	7.39512304037572	3	adult19	*
-3.45601518356565	2.28559527367116	11	adult19	*
-1.80178929769758	-3.71901603967189	5	adult19	*
2.86884825027224	-10.9077014568472	15	adult19	*
1.90013663566348	-2.95989605218409	0	adult19	*
-0.731630175349745	-6.34913584023951	10	adult19	*
8.07936875617739	0.245155727562917	8	adult19	*
2.25656335151431	-3.233188593688	0	adult19	*
1.75737945831057	-4.4392809513235	0	adult19	*
2.21740357673403	-6.13912340432643	2	adult19	*
1.70217768943545	-3.24270197183131	0	adult19	*
-1.20039747559789	-7.04413696557521	10	adult19	*
-0.0375969549393979	-6.78636928826808	10	adult19	*
-2.29303403103116	8.11533549993993	3	adult19	*
-1.32278878891233	-4.3850817325735	5	adult19	*
-3.91780526840452	3.00856951445104	11	adult19	*
0.274654434087244	-6.34802337914942	2	adult19	*
-4.62245853149656	6.38328078955175	16	adult19	*
3.98636405265566	-1.40960665971278	19	adult19	*
0.302548334958521	-7.05861946374415	10	adult19	*
-3.50100643837217	7.7600655910349	3	adult19	*
-3.21218521797422	7.8046326991892	3	adult19	*
-2.08290417396787	4.81658176153661	12	adult19	*
-2.16305799686674	7.42677835196019	3	adult19	*
1.72891204154727	-4.42515655786036	0	adult19	*
-4.62574060165647	6.99886087149144	16	adult19	*
-3.1825326224542	7.86510709494115	3	adult19	*
-1.97006173336271	-5.00499626428126	5	adult19	*
-1.49739976131681	-5.96720787316798	10	adult19	*
1.86136309898135	-3.93146892816065	0	adult19	*
-4.13617618286374	7.43182615011693	16	adult19	*
-0.142638637659582	7.64381746023656	1	adult19	*
-0.149156286356482	7.6756158229685	1	adult19	*
-9.86551649772886	3.4313611146784	6	adult19	*
-1.6086014052606	-5.12935634881495	5	adult19	*
-3.39021785461667	7.90525344580175	3	adult19	*
-2.08587188923124	4.68110111921789	12	adult19	*
8.00993077552554	0.25364402502538	8	adult19	*
-0.393724693892035	7.84716132849218	1	adult19	*
5.30522219932315	-2.03742595941065	21	adult19	*
8.1360971192145	-0.581220591368663	8	adult19	*
-10.3437889357782	3.3250561115122	6	adult19	*
-0.126635088560614	6.70595935553075	12	adult19	*
3.67681233680483	-1.44109889298915	13	adult19	*
-1.52712632620099	8.04982713430883	1	adult19	*
-1.16371478044752	8.16119960516454	1	adult19	*
-2.0808800002313	-4.70610567361354	5	adult19	*
