gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
atp5mc1	1.08354853549891e-06	0.27968021050594	0.745	0.719	0.00216709707099782
gpa33a	2.13819782610849e-06	0.277153907392735	0.123	0.054	0.00427639565221698
snai2	2.1990878246646e-06	0.573590773366264	0.481	0.47	0.0043981756493292
plppr5a	2.2089377661143e-06	0.48276068139323	0.231	0.148	0.0044178755322286
anxa3b	2.49730564958361e-06	0.424792411004488	0.571	0.554	0.00499461129916723
gstz1	2.92300269009476e-06	0.63752274560292	0.458	0.461	0.00584600538018952
uchl1	3.23545001483807e-06	0.437654314550723	0.491	0.468	0.00647090002967613
pgd	4.21668784208983e-06	0.489602217735439	0.335	0.339	0.00843337568417967
cd151	4.69394599623778e-06	0.809566191475005	0.41	0.401	0.00938789199247555
b2m	8.48861550384813e-06	0.449789821515809	0.203	0.227	0.0169772310076963
FP085398.1	8.79063268045219e-06	0.464148340592112	0.193	0.118	0.0175812653609044
